product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,4/3/2019,"1.0 out of 5 stars
(Best lotion I’ve ever used!) WAS until L’Oreal changed the formula...",1,"Already reviewed, but I’ll add to: this is a completely amazing lotion. I like it so much I did subscribe and save. This has given me baby-soft, silky skin, all over. Superb stuff!!An UPDATE and WARNING:Apparently CeraVe was bought by L’Oreal, and as with all good things ruined by conglomerates, the formula has been changed. The last big bottle I got through Amazon S&S was the old formula I loved so much. I bought a tiny bottle for my bag, and noticed it wasn’t the same, it’s more of a gel now and doesn’t work nearly as well. Then I looked at the ingredient labels! Some reshuffling, which means some stuff that was already there was increased, some stuff was decreased (namely, the ceramides), and some garbage was added, which makes me fairly angry. WHY do these huge companies wreck good things for the customers who love a product? So...through no fault of Amazon, I cancelled my S&S and will start the long and expensive slog of trying to find a lotion that works.",44
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,13/3/2023,"1.0 out of 5 stars
Most recent order of this stunk!!",1,"I've purchased this moisturizing lotion a few times now. But the most recent order has something wrong with it (and too late to return now = Money wasted!).  Normally there is no  odor/scent to this lotion. But this time it smelled slightly fishy, like something rotting. It was disgusting, and it smelled strongest after you put it on your skin. I tried two different days with same result, so I'm certain it's something in the lotion that's bad.",12
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,13/5/2023,"1.0 out of 5 stars
NEVERRRR AGAIN",1,I wish I could sue for pain an suffering because this ruined my skin. I had no idea this was actually super common based on all the glowing reviews here and on tiktok. This has several pore clogging ingredients regardless of what’s said on the label. If you are even slightly acne prone - steer clear! My skin has NEVERRR been this bad.,7
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,14/1/2024,"1.0 out of 5 stars
Don't bother",1,"It doesnt work lol, buy something that isn't this cheap, smells funny",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,24/5/2023,"1.0 out of 5 stars
Smells like fish",1,"I use this lotion everyday all the time, first time buying through amazon. Lotion I received literally smells like fish, every time I apply and rub it into my skin and started smelling it (on my hands) it smells terrible - fishy smell. Don’t know if I received a faulty one but will not be purchasing through Amazon again.",10
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,5/2/2024,"1.0 out of 5 stars
Hives",1,Made my grandson break out in hives,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,25/4/2021,"1.0 out of 5 stars
Product spilled in transit",1,"Product arrived with the pump guard intact, but the lid was partially unscrewed and product was spilled inside the box. Hard to see how it could have become unscrewed in transit, and it seems more likely it wasn’t secure from the start.Aside from that I love this lotion and wish it wasn’t out of stock locally.I tried posting this review but it was deemed unacceptable and wasn’t posted for some reason ??? I am just upset that some of the product I paid for was wasted and wish my only option wasn’t to have to send the whole bottle back to be compensated for it — I need what remains of the product now and I can’t wait for a full replacement. That seems to at the bare minimum warrant a negative review, which I would gladly update if I were compensated.",2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,24/4/2023,"1.0 out of 5 stars
FISH SMELL",1,"Disgusting! I have used this product for years from the drug store - buying it on Amazon was a mistake. It has a fishy smell, like it is rotting. I thought it was all in my head but I saw other commenters noticing the same thing. I applied after the shower and have to shower again to wash this nasty scent off of me. Do not buy!",7
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,22/12/2023,"1.0 out of 5 stars
Arrived open",1,Arrived open with cream lost through cap. Shipping box was wet from cream.Unknown how much was lost?,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,18/6/2023,"1.0 out of 5 stars
Smells like fish",1,"I have used Cerave products for years and they are always fragrance free.This last bottle I purchased has a terrible odor, it smelled like fish. Very disgusting!  I’m always skeptical when purchasing products on Amazon because it seems most products aren’t from the original manufacturer. Very disappointing. Be cautious when purchasing",4
